CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,0,3
12347,1,103,2458,0
12348,74,22,2341,2
12349,18,73,631,0
12350,309,17,197,3
12352,35,59,470,0
12353,203,4,20,1
12354,231,58,530,1
12355,213,13,240,1
12356,22,53,1591,0
12357,32,131,2708,0
12358,1,13,248,0
12359,7,214,1599,0
12360,51,105,1165,2
12361,286,10,91,3
12362,2,201,2212,0
12363,109,23,408,2
12364,7,70,1506,0
12365,290,22,173,3
12367,3,11,173,0
12370,50,143,2352,0
12371,44,63,591,0
12372,71,34,794,2
12373,310,14,197,3
12374,24,33,342,0
12375,2,14,177,0
12377,314,72,944,3
12378,129,219,2529,2
12379,81,39,406,2
12380,21,77,1126,0
12381,4,70,783,0
12383,184,84,1529,1
12384,28,26,121,0
12386,337,10,354,3
12388,15,57,1462,0
12390,79,32,353,2
12391,21,92,293,0
12393,71,47,816,2
12394,63,26,819,2
12395,15,91,2113,0
12397,35,110,1263,0
12398,45,85,1394,0
12399,118,47,1178,2
12401,302,5,11,3
12402,322,11,94,3
12403,49,5,95,2
12405,148,54,857,1
12406,21,92,1809,0
12407,49,57,1416,2
12408,32,81,1399,0
12409,78,91,5543,2
12410,300,26,209,3
12412,74,43,829,2
12413,66,29,282,2
12414,216,16,300,1
12415,23,444,77242,0
12417,2,158,1539,0
12418,112,34,407,2
12420,63,29,345,2
12421,15,33,483,0
12422,95,39,370,2
12423,0,97,1327,0
12424,162,30,740,1
12425,77,36,496,2
12426,194,30,258,1
12427,11,26,236,0
12428,25,258,3503,0
12429,8,82,1557,0
12430,42,11,117,0
12431,35,163,2858,0
12432,42,107,1801,0
12433,0,219,11071,0
12434,84,49,373,2
12435,79,31,2055,2
12436,99,16,211,2
12437,1,119,2918,0
12438,13,84,1180,0
12441,366,11,121,3
12442,2,12,182,0
12444,20,138,1155,0
12445,21,4,62,0
12446,57,58,352,2
12447,242,26,190,1
12448,43,22,243,0
12449,21,118,1553,0
12450,155,7,128,1
12451,10,265,6455,0
12452,16,21,183,0
12453,133,43,473,2
12454,52,15,0,2
12455,72,85,2089,2
12456,43,105,1616,0
12457,57,53,695,2
12458,70,35,506,2
12461,93,35,287,2
12462,1,51,514,0
12463,45,66,757,0
12464,9,6,112,0
12465,7,46,475,0
12468,142,36,364,1
12471,1,152,7953,0
12472,30,226,4020,0
12473,28,140,2338,0
12474,16,253,4750,0
12475,53,36,535,2
12476,0,177,2337,0
12477,22,192,3620,0
12478,3,36,236,0
12479,3,31,351,0
12480,27,129,1707,0
12481,22,150,3280,0
12483,16,46,1097,0
12484,32,256,2181,0
12488,9,46,529,0
12489,335,15,105,3
12490,4,131,3064,0
12491,38,25,260,0
12492,62,19,192,2
12493,165,20,206,1
12494,9,63,690,0
12497,81,14,1236,2
12498,20,21,159,0
12500,22,34,2671,0
12501,314,149,1722,3
12502,95,102,820,2
12503,337,1,-1,3
12504,17,6,51,0
12505,300,1,-1,3
12506,232,23,23,1
12507,133,19,894,2
12508,25,57,271,0
12509,283,7,55,3
12510,142,29,353,1
12512,65,31,96,2
12513,84,35,456,2
12514,266,51,440,3
12515,352,16,131,3
12516,77,20,875,2
12517,27,232,1338,0
12518,0,84,1318,0
12519,63,17,175,2
12520,78,121,1430,2
12521,142,38,309,1
12522,38,11,194,0
12523,1,84,861,0
12524,8,113,3699,0
12526,0,64,632,0
12527,81,18,234,2
12528,8,50,750,0
12530,59,51,900,2
12531,14,17,45,0
12532,29,16,153,0
12534,130,63,651,2
12535,91,28,219,2
12536,7,260,2652,0
12538,28,21,191,0
12539,21,158,2066,0
12540,19,278,6677,0
12541,29,46,680,0
12544,29,19,132,0
12545,74,42,523,2
12546,46,59,617,0
12547,197,7,134,1
12548,165,5,49,1
12550,78,57,569,2
12551,357,10,100,3
12552,38,20,88,0
12553,7,95,1924,0
12556,49,100,355,0
12557,15,15,4384,0
12558,1,11,0,0
12559,310,21,281,3
12560,4,92,1078,0
12561,302,16,177,3
12562,7,99,1779,0
12564,260,21,133,3
12565,281,9,75,3
12566,72,19,264,2
12567,22,323,4089,0
12569,1,92,1793,0
12571,39,31,523,0
12572,8,53,450,0
12573,226,26,84,1
12574,315,11,61,3
12576,35,72,964,0
12577,34,137,463,0
12578,20,112,1171,0
12579,72,29,278,2
12580,246,24,238,1
12581,39,15,161,0
12582,238,21,300,1
12583,2,115,5009,0
12584,3,44,354,0
12585,233,77,1258,1
12586,16,12,77,0
12587,7,4,51,0
12588,38,10,53,0
12589,28,29,306,0
12590,189,68,4279,1
12591,316,26,228,3
12592,91,11,290,2
12593,108,14,206,2
12594,37,50,1776,0
12596,50,25,474,2
12597,18,184,2187,0
12598,9,84,1940,0
12599,28,32,956,0
12600,28,32,773,0
12601,189,21,244,1
12602,58,12,162,2
12603,21,3,64,0
12604,78,15,201,2
12605,364,3,-4,3
12607,57,101,0,2
12609,77,57,648,2
12610,22,85,1028,0
12611,51,65,846,2
12612,57,19,251,2
12613,30,124,1596,0
12614,277,20,76,3
12615,1,82,1376,0
12616,84,25,273,2
12617,28,39,210,0
12618,21,11,96,0
12619,15,50,3354,0
12620,14,89,1181,0
12621,1,261,7404,0
12622,231,11,69,1
12623,275,18,191,3
12624,105,36,355,2
12625,211,74,1577,1
12626,22,232,3350,0
12627,10,162,2752,0
12628,3,34,445,0
12630,9,60,548,0
12631,56,31,236,2
12633,58,73,1149,2
12635,89,96,1172,2
